meal_id,date,meal_type,food_items,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,sugar_g,water_ml,notes
MEAL-001,2025-11-01,breakfast,Blueberry muffin with orange juice,420,6,78,12,2,380,42,150,Low protein high sugar breakfast
MEAL-002,2025-11-01,morning_coffee,Large latte with vanilla syrup,280,10,42,8,0,150,36,0,9am coffee
MEAL-003,2025-11-01,lunch,Pasta carbonara with garlic bread,920,28,98,42,4,1420,8,200,Heavy carb lunch
MEAL-004,2025-11-01,afternoon_coffee,Medium americano,15,1,2,0,0,10,0,0,1:30pm - last caffeine
MEAL-005,2025-11-01,snack,Granola bar,190,3,38,4,2,120,18,0,3pm snack
MEAL-006,2025-11-01,dinner,Grilled chicken with vegetables,450,38,22,18,6,520,4,400,
MEAL-007,2025-11-02,breakfast,Croissant with jam and coffee,380,5,52,18,1,320,22,200,Low protein breakfast
MEAL-008,2025-11-02,morning_coffee,Caramel macchiato,320,8,48,12,0,180,42,0,9:30am coffee
MEAL-009,2025-11-02,lunch,Burrito bowl with rice and beans,850,32,105,28,12,1580,6,250,High carb lunch
MEAL-010,2025-11-02,afternoon_coffee,Espresso,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-011,2025-11-02,snack,Banana with crackers,210,2,48,2,4,85,22,0,
MEAL-012,2025-11-02,dinner,Salmon with quinoa salad,520,38,35,22,5,480,4,350,
MEAL-013,2025-11-03,breakfast,Cinnamon roll with milk,520,8,82,18,2,480,45,200,Weekend treat - high sugar
MEAL-014,2025-11-03,morning_coffee,Mocha latte,350,10,48,14,0,160,38,0,10am coffee
MEAL-015,2025-11-03,lunch,Chicken alfredo pasta with breadsticks,980,35,92,48,3,1620,8,200,Heavy Italian lunch
MEAL-016,2025-11-03,snack,Apple,95,0,25,0,4,2,19,0,
MEAL-017,2025-11-03,dinner,Steak with baked potato,620,42,45,28,4,580,3,400,
MEAL-018,2025-11-04,breakfast,Bagel with cream cheese,420,10,62,16,2,580,8,150,Mostly carbs
MEAL-019,2025-11-04,morning_coffee,Large cold brew with milk,120,4,12,4,0,80,8,0,8:30am coffee
MEAL-020,2025-11-04,lunch,Fried rice with sweet and sour chicken,880,28,110,32,3,1850,22,200,High carb Asian lunch
MEAL-021,2025-11-04,afternoon_coffee,Small latte,150,6,18,6,0,90,14,0,1:45pm - last caffeine
MEAL-022,2025-11-04,snack,Rice cakes with honey,180,2,42,0,1,60,18,0,
MEAL-023,2025-11-04,dinner,Turkey meatballs with zucchini noodles,420,38,22,18,5,680,8,400,Light dinner
MEAL-024,2025-11-05,breakfast,Toast with butter and jam,320,4,58,10,2,380,28,100,Low protein
MEAL-025,2025-11-05,morning_coffee,Vanilla latte,280,8,42,10,0,140,35,0,9am coffee
MEAL-026,2025-11-05,lunch,Pad Thai with spring rolls,920,22,118,38,4,1720,28,200,High carb Thai lunch
MEAL-027,2025-11-05,afternoon_coffee,Decaf americano,10,0,2,0,0,5,0,0,2pm - switched to decaf
MEAL-028,2025-11-05,snack,Cookies,240,2,38,10,1,180,22,0,Office snacks
MEAL-029,2025-11-05,dinner,Grilled fish with steamed vegetables,380,35,18,16,6,420,4,350,Light dinner
MEAL-030,2025-11-06,breakfast,Pancakes with maple syrup,480,8,88,10,2,620,42,150,High carb breakfast
MEAL-031,2025-11-06,morning_coffee,Large cappuccino,180,10,18,8,0,120,14,0,8:45am coffee
MEAL-032,2025-11-06,lunch,Pizza slices (3) with soda,980,28,122,38,4,2150,48,350,Heavy lunch with sugar
MEAL-033,2025-11-06,afternoon_coffee,Espresso shot,5,0,1,0,0,5,0,0,1:30pm - last caffeine
MEAL-034,2025-11-06,snack,Pretzels,220,4,46,2,2,1020,0,0,
MEAL-035,2025-11-06,dinner,Chicken stir-fry with vegetables,480,35,42,16,6,780,8,400,
MEAL-036,2025-11-07,breakfast,Danish pastry with juice,420,4,72,14,1,340,38,150,Pastry breakfast
MEAL-037,2025-11-07,morning_coffee,Hazelnut latte,290,8,44,10,0,150,36,0,9:15am coffee
MEAL-038,2025-11-07,lunch,Lasagna with Caesar salad,880,32,82,42,5,1480,10,250,Heavy Italian
MEAL-039,2025-11-07,afternoon_coffee,Small coffee,5,0,1,0,0,5,0,0,2pm - last caffeine
MEAL-040,2025-11-07,snack,Fruit snacks,160,0,40,0,0,25,32,0,
MEAL-041,2025-11-07,dinner,Baked cod with asparagus,380,35,18,16,4,420,4,350,Light dinner
MEAL-042,2025-11-08,breakfast,Waffles with whipped cream,520,8,78,20,2,480,38,150,High sugar breakfast
MEAL-043,2025-11-08,morning_coffee,Caramel cold brew,280,4,48,8,0,140,42,0,9am coffee
MEAL-044,2025-11-08,lunch,Fish and chips with coleslaw,920,28,95,45,4,1380,8,200,Fried heavy lunch
MEAL-045,2025-11-08,afternoon_coffee,Decaf latte,140,6,16,5,0,85,12,0,2pm - decaf only
MEAL-046,2025-11-08,snack,Cheese crackers,210,4,28,10,1,420,2,0,
MEAL-047,2025-11-08,dinner,Grilled shrimp with quinoa,420,32,38,14,4,580,4,400,
MEAL-048,2025-11-09,breakfast,French toast with bacon,580,18,62,28,2,880,28,200,Weekend brunch
MEAL-049,2025-11-09,morning_coffee,Flat white,150,8,12,8,0,100,10,0,10am coffee
MEAL-050,2025-11-09,lunch,Burger with fries and milkshake,1150,38,118,52,5,1820,48,350,Heavy weekend lunch
MEAL-051,2025-11-09,snack,Ice cream,280,4,38,14,0,120,32,0,
MEAL-052,2025-11-09,dinner,Roasted chicken with potatoes,580,42,42,24,5,580,4,400,
